"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"1",38,4,32,4,35,10,40,7,36,4,41,4,39,5,42,4,35,5,41,3,41,4,34,4,38,6,45,4,41,6,38,3,37,5,43,2,40,2,39,6,41,7,36,4,40,1,39,3,32,2,38,5,32,3,41,6,43,8,43,5,39,7,24,5,39,5,37,6,41,4,36,3,35,4,43,5,30,4,35,4,39,4,34,3,36,2,42,6,36,5,39,2,43,7,36,5,43,2,42,3
"2",9,21,15,21,12,15,7,18,11,21,6,21,8,20,5,21,12,20,6,22,6,21,13,21,9,19,2,21,6,19,9,22,10,20,4,23,7,23,8,19,6,18,11,21,7,24,8,22,15,23,9,20,15,22,6,19,4,17,4,20,8,18,23,20,8,20,10,19,6,21,11,22,12,21,4,20,17,21,12,21,8,21,13,22,11,23,5,19,11,20,8,23,4,18,11,20,4,23,5,22
